station,region,state,station_code,first date,height,longitude,latitude
QUEIMADAS,NE,BA,A436,5/23/2008,315,-39.61694443,-10.984645
MACAU,NE,RN,A317,1/6/2007,32,-36.57305554,-5.15111111
SAQUAREMA - SAMPAIO CORREIA,SE,RJ,A667,1/1/2019,26,-42.60888888,-22.8711111
SANTANA DO LIVRAMENTO,S,RS,A804,11/22/2001,328,-55.40138888,-30.75055555
VILA VELHA,SE,ES,A634,2/15/2017,25,-40.40388888,-20.46694443
GOVERNADOR VALADARES,SE,MG,A532,5/27/2007,214,-41.97666666,-18.83027777
CABROBO,NE,PE,A329,9/4/2007,342.74,-39.31388888,-8.50305555
OURO BRANCO,SE,MG,A513,7/28/2006,1061,-43.75611111,-20.54583333
BAURU,SE,SP,A705,8/30/2001,666,-49.028877,-22.358052
DIAMANTINA,SE,MG,A537,6/5/2007,1359.25,-43.64805555,-18.231052
SANTIAGO,S,RS,A833,2/4/2009,394,-54.88555555,-29.19138888
FEIRA DE SANTANA,NE,BA,A413,5/26/2007,231,-38.96722221,-12.19583333
ILHA DO MEL,S,PR,A847,3/23/2007,1,-48.32583332,-25.49444444
CACHOEIRA PAULISTA,SE,SP,A769,10/20/2017,586,-45.005444,-22.68888888
CORRENTE,NE,PI,A374,3/28/2018,452,-45.17305554,-10.42916666
SAO SIMAO,CO,GO,A011,7/15/2006,492.45,-50.61666666,-18.96666666
SAPEZAL,CO,MT,A911,10/20/2017,105,-58.76333333,-10.16583333
APUI,N,AM,A113,7/19/2008,160,-59.888561,-7.205475
CAIAPONIA,CO,GO,A023,5/21/2007,740.1,-51.81749999,-16.96666666
SAO LUIS DO QUITUNDE,NE,AL,A356,9/8/2008,19,-35.56583333,-9.287481
FRANCA,SE,SP,A708,12/12/2002,1026,-47.37999999,-20.57999999
PEF YAUARETE,N,AM,S115,12/1/2016,-9999,-69.19194444,0.59944444
PICOS,NE,PI,A343,12/12/2008,233,-41.40416666,-7.07083332
DRACENA,SE,SP,A762,11/3/2016,720,-51.55222222,-21.457699
IVAI,S,PR,A818,7/11/2006,808,-50.853853,-25.010757
RONDONOPOLIS,CO,MT,A907,11/17/2003,289.88,-54.56666666,-16.45
SAO VICENTE DO SUL,S,RS,A889,4/6/2016,134,-54.69416666,-29.70194444
TEOFILO OTONI,SE,MG,A527,8/25/2006,475,-41.515423,-17.89284
FAROL de SANTANA,NE,MA,A217,11/28/2008,9.87,-43.62388888,-2.270811
LAGES,S,SC,A865,11/6/2014,955,-50.335457,-27.80222222
ITUVERAVA,SE,SP,A753,7/17/2008,610.58,-47.77499999,-20.35944444
NOVO HORIZONTE,S,SC,A816,9/20/2008,960,-52.85027777,-26.40638888
PIUM,N,TO,A051,4/6/2016,161,-49.62944443,-10.476944
ALEGRETE,S,RS,A826,9/28/2006,121,-55.525486,-29.709083
COLINAS,NE,MA,A222,6/3/2008,179,-44.23333333,-6.03305554
SACRAMENTO,SE,MG,A525,8/19/2006,913.12,-47.434102,-19.875271
CAPAO DO LEAO (PELOTAS),S,RS,A887,7/18/2019,13,-52.40722222,-31.8025
SANTA MARIA MADALENA,SE,RJ,A630,10/16/2018,517,-42.01027777,-21.95055555
AQUIDAUANA,CO,MS,A719,11/1/2006,155,-55.78388888,-20.47555554
PATOS,NE,PB,A321,7/21/2007,263.66,-37.27249999,-7.07972221
TORRES,S,RS,A808,6/1/2006,8.44,-49.73305554,-29.35027777
TIANGUA,NE,CE,A368,3/15/2018,756,-41.011881,-3.732169
FORTE PRINCIPE,N,RO,S101,12/1/2016,-9999,-64.41999999,-12.42999999
GOIOERE,S,PR,A825,1/1/2019,452.34,-53.03055554,-24.15833333
GARANHUNS,NE,PE,A322,7/8/2007,827.78,-36.493381,-8.90694444
ITACOATIARA,N,AM,A121,4/17/2008,74,-58.48277777,-3.13305554
CAMPO VERDE,CO,MT,A912,11/21/2006,749,-55.13555555,-15.52749999
ALEGRE,SE,ES,A617,10/25/2006,138,-41.48888888,-20.75055555
PARANATINGA,CO,MT,A915,12/19/2006,476.91,-54.03527777,-14.42138888
RIO DE JANEIRO - JACAREPAGUA,SE,RJ,A636,8/10/2017,20,-43.40277777,-22.93972221
VALPARAISO,SE,SP,A734,8/30/2007,381.9,-50.930158,-21.319138
CACAPAVA DO SUL,S,RS,A812,6/22/2006,420.82,-53.46705,-30.545317
GUARDA-MOR,SE,MG,A546,7/11/2007,997.01,-47.19916666,-17.56138888
CAMPINA VERDE,SE,MG,A519,7/15/2006,559.07,-49.51805554,-19.53916666
NOVA TEBAS,S,PR,A822,12/21/2006,656.24,-51.96305555,-24.43722221
FORTE DE COPACABANA,SE,RJ,A652,5/18/2007,42,-43.19027777,-22.98833333
PARNAIBA,NE,PI,A308,2/6/2003,79.5,-41.78305554,-3.08638888
ARACUAI,SE,MG,A566,5/19/2017,308,-42.44055555,-16.84888888
PONTA PORA,CO,MS,A703,9/7/2001,675,-55.716317,-22.552448
CACERES,CO,MT,A941,3/30/2012,123.53,-57.69277777,-16.07444443
BOM JARDIM DA SERRA - MORRO DA IGREJA,S,SC,A845,6/17/2007,1810,-49.47961,-28.126992
OIAPOQUE,N,AP,A242,9/11/2008,21,-51.8625,3.81361111
CAMPOS DO JORDAO,SE,SP,A706,3/13/2002,1662.95,-45.603836,-22.750231
PORANGATU,CO,GO,A005,9/13/2018,365.5,-49.117478,-13.30944444
SERRA DOS AIMORES,SE,MG,A522,8/21/2006,211.97,-40.24972221,-17.7986111
CONCEICAO DO ARAGUAIA,N,PA,A241,9/4/2008,180,-49.27416666,-8.25916666
ERECHIM,S,RS,A828,11/25/2006,777.08,-52.305805,-27.65771
DTCEA TEFE,N,AM,S117,12/1/2016,-9999,-64.72305554,-3.37722221
PARANAPOEMA,S,PR,A850,3/4/2008,311,-52.13444444,-22.49166666
CAMPOS SALES,NE,CE,A347,3/7/2008,577.95,-40.362678,-7.07773
MANACAPURU,N,AM,A119,4/10/2008,55,-60.62833332,-3.29472221
CARATINGA,SE,MG,A554,5/24/2007,615,-42.137146,-19.735757
PASSA QUATRO,SE,MG,A529,5/30/2007,1040,-44.96166666,-22.395799
ARQ.SAO PEDRO E SAO PAULO,NE,RN,A302,11/2/2003,15,-29.31666666,0.916877
DTCEA VILHENA,N,RO,S104,12/1/2016,-9999,-60.14916666,-12.75055555
CLEVELANDIA,S,PR,A876,5/15/2008,980,-52.3486111,-26.41722221
ITABAIANINHA,NE,SE,A417,5/23/2007,208,-37.79472221,-11.27249999
NOVO ARIPUANA,N,AM,A144,7/18/2019,45,-60.38055554,-8.0911111
JAPIRA,S,PR,A871,2/29/2008,694,-50.18055554,-23.77305554
CASTANHAL,N,PA,A202,1/24/2003,65,-47.93083332,-1.30083333
ARIQUEMES,N,RO,A940,7/18/2008,140,-62.961873,-9.94888888
ITAJAI,S,SC,A868,6/24/2010,18,-48.76194444,-26.95083333
FEIJO,N,AC,A138,9/24/2009,163,-70.343594,-8.142654
EUCLIDES DA CUNHA,NE,BA,A442,3/31/2008,431.96,-38.996605,-10.53722221
AGUA BOA,CO,MT,A908,12/16/2006,440,-52.21166666,-14.01611111
AVARE,SE,SP,A725,9/22/2006,776.36,-48.9411111,-23.09972221
S. G. DA CACHOEIRA,N,AM,A134,8/31/2011,90,-67.06111111,-0.12499999
BENTO GONCALVES,S,RS,A840,12/1/2006,640,-51.534202,-29.164581
TUPA,SE,SP,A768,5/12/2017,498,-50.490251,-21.92722221
VITORIA,SE,ES,A612,10/31/2006,9,-40.3,-20.26666666
POCO VERDE,NE,SE,A419,4/3/2008,367.01,-38.10777777,-10.73749999
GUARANTA DO NORTE,CO,MT,A906,12/20/2002,320,-54.88333333,-9.95
ITUPORANGA,S,SC,A863,3/4/2008,484,-49.64666666,-27.41833332
SANTA RITA DE CASSIA,NE,BA,A415,5/28/2007,450.01,-44.52499999,-11.00277777
FORTALEZA,NE,CE,A305,2/18/2003,29.55,-38.53777777,-3.815701
FORMOSO DO ARAGUAIA,N,TO,A039,4/27/2008,220,-49.608215,-11.887377
BELO HORIZONTE - CERCADINHO,SE,MG,F501,12/27/2013,1214,-43.95861111,-19.97999999
AFONSO CLAUDIO,SE,ES,A657,9/24/2011,520,-41.10694444,-20.10416666
MARILIA,SE,SP,A763,5/15/2017,660,-49.965,-22.235222
DOM ELISEU,N,PA,S107,12/1/2016,251,-47.55,-4.28055554
FLORESTA,NE,PE,A351,9/15/2008,332,-38.58388888,-8.5936111
ITAPEVA,SE,SP,A714,7/25/2006,745,-48.88527777,-23.98138888
INACIO MARTINS,S,PR,A823,10/16/2006,1260,-51.077946,-25.56583333
SAO CARLOS,SE,SP,A711,9/4/2006,863,-47.88333333,-21.97972221
ECOLOGIA AGRICOLA,SE,RJ,A601,5/7/2000,33,-43.68333333,-22.8
CARIRA,NE,SE,A420,3/28/2008,308,-37.74722221,-10.39944444
PEDRO AFONSO,N,TO,A020,1/23/2007,189.71,-48.177259,-8.9686111
BONITO,CO,MS,S704,8/6/2018,329,-56.450442,-21.24666666
RANCHARIA,SE,SP,A718,9/1/2006,398.75,-50.97416666,-22.37249999
COLINAS DO TOCANTINS,N,TO,A049,11/11/2016,200,-48.478605,-8.092708
SANTA FE DO ARAGUAIA,N,TO,A048,7/30/2016,171,-48.781267,-7.12416666
SAO MIGUEL DO ARAGUAIA,CO,GO,A031,6/29/2017,340,-50.33583333,-12.81972221
TUCURUI,N,PA,A229,3/1/2008,148,-49.674956,-3.82276
BOCA DO ACRE,N,AM,A110,7/15/2008,111.98,-67.33222221,-8.77666666
PEF ESTIRAO DO EQUADOR,N,AM,S116,12/1/2016,-9999,-71.61749999,-4.52999999
PALMEIRA DAS MISSOES,S,RS,A856,2/26/2008,631,-53.31694443,-27.92027777
SAO SEBASTIAO DO PARAISO,SE,MG,A561,8/17/2015,845,-47.11416666,-20.909892
LAGOA VERMELHA,S,RS,A844,3/2/2007,842.58,-51.51222222,-28.22194443
MAUES,N,AM,A122,4/22/2008,35,-57.6736111,-3.39888888
DUQUE DE CAXIAS - XEREM,SE,RJ,A603,1/1/2019,22,-43.28222221,-22.58972221
COSTA RICA,CO,MS,A760,12/4/2012,730,-53.171261,-18.492665
RIO DE JANEIRO - FORTE DE COPACABANA,SE,RJ,A652,1/1/2019,25.59,-43.19055555,-22.98833333
MONTE ALEGRE DE GOIAS,CO,GO,A032,6/7/2007,1253,-46.88972221,-13.24805555
ARARANGUA,S,SC,A867,9/28/2008,12,-49.49792,-28.931353
CAXIAS,NE,MA,A237,7/13/2008,84.85,-43.3436111,-4.821352
ROSARIO OESTE,CO,MT,A944,5/30/2019,195,-56.44194444,-14.82888888
CASA BRANCA,SE,SP,A738,6/25/2007,734.15,-47.07528,-21.77972221
QUERENCIA,CO,MT,A916,7/18/2007,360.59,-52.19444444,-12.5986111
CAMAQUA,S,RS,A838,12/12/2006,92.3,-51.83424,-30.807953
SAO BENTO,NE,MA,S108,12/1/2016,-9999,-44.85,-2.7
ALTAMIRA,N,PA,A253,10/25/2018,191,-52.39472221,-3.27027777
IRECE,NE,BA,A424,3/31/2008,768.42,-41.86444444,-11.32888888
ARCO VERDE,NE,PE,A309,11/20/2004,683.95,-37.055477,-8.41694443
SILVANIA,CO,GO,A037,10/8/2010,952,-48.61805554,-16.67694443
SANTAREM,N,PA,A250,9/2/2015,137,-54.72027777,-2.502572
CAMPOS LINDOS,N,TO,A043,10/29/2012,426.56,-46.63916666,-8.15472222
RONDON DO PARA,N,PA,A214,4/17/2008,203,-48.17333332,-4.82749999
MATEIROS,N,TO,A040,10/25/2012,798,-45.91999999,-10.42999999
MONTE ALEGRE,N,PA,A239,7/6/2012,100.53,-54.07583332,-2
ALTA FLORESTA,CO,MT,A924,5/23/2007,291.85,-56.1,-9.84944444
PALMEIRA DOS INDIOS,NE,AL,A327,7/11/2007,278.01,-36.62027777,-9.42027777
AREIA,NE,PB,A310,11/16/2004,574.62,-35.68499999,-6.97499999
IVINHEMA,CO,MS,A709,2/8/2003,377.36,-53.82277777,-22.300421
JOAO PESSOA,NE,PB,A320,7/21/2007,47,-34.81527777,-7.165409
PATOS DE MINAS,SE,MG,A562,5/12/2017,950,-46.44055555,-18.52055554
RESENDE,SE,RJ,A609,9/29/2006,439.89,-44.444786,-22.45
MURIAE,SE,MG,A517,8/30/2006,297,-42.37583332,-21.10472222
ITAPORA,CO,MS,S710,2/26/2018,360,-54.798833,-22.09277777
PALMAS,N,TO,A009,12/17/2004,291.87,-48.3,-10.18333333
BARRA,NE,BA,A429,5/12/2008,407.5,-43.13888888,-11.08472221
Laguna  - Farol de Santa Marta,S,SC,A866,6/1/2008,52,-48.813313,-28.60416666
PORTO WALTER,N,AC,A136,10/29/2009,205.35,-72.74777777,-8.26694443
SENHOR DO BONFIM,NE,BA,A428,3/27/2008,539,-40.148244,-10.44305555
SANTA ROSA,S,RS,A810,11/15/2006,276,-54.480014,-27.890463
ITAPORANGA,NE,PB,A373,11/3/2017,292,-38.140833,-7.318472
CURACA,NE,BA,A448,8/20/2015,370,-39.9125,-9.00138888
VARGINHA,SE,MG,A515,7/13/2006,955,-45.40416666,-21.56638888
BELEM,N,PA,A201,1/20/2003,24,-48.43833333,-1.41027777
ITUIUTABA,SE,MG,A512,5/12/2006,560,-49.52499999,-18.95277777
NOVA ANDRADINA,CO,MS,S713,4/9/2018,372,-53.46583333,-22.078528
MACAUBAS,NE,BA,A454,4/7/2016,574,-42.61722221,-13.03888888
SALGUEIRO,NE,PE,A370,9/15/2017,447,-39.096111,-8.05805555
REGISTRO,SE,SP,A766,2/9/2017,35,-47.864139,-24.53305554
RIBEIRA DO AMPARO,NE,BA,A458,9/20/2018,182,-38.44416666,-11.05861111
VILHENA,N,RO,A938,8/26/2008,590,-60.15777777,-12.73472221
CATALAO,CO,GO,A034,1/31/2008,900.72,-47.92638888,-18.154779
GILBUES,NE,PI,A364,5/16/2009,425.1,-45.345805,-9.87472221
ALTO TAQUARI,CO,MT,A934,1/29/2008,875,-53.28749999,-17.81555555
VALENCA,NE,BA,A444,6/29/2009,105,-39.12666666,-13.34361
MONTES CLAROS,SE,MG,A506,12/19/2002,646.29,-43.843763,-16.686316
S.J. DO RIO CLARO,CO,MT,A903,2/25/2003,350,-56.66666666,-13.45
CAARAPO,CO,MS,S706,3/3/2018,456,-54.819306,-22.65694444
CAMPOS,SE,RJ,A607,9/25/2006,25,-41.35,-21.71666666
CHAPECO,S,SC,A895,2/19/2019,680,-52.63555555,-27.0853111
MONTALVANIA,SE,MG,A526,6/26/2007,519.52,-44.01583333,-14.408228
DIONISIO CERQUEIRA,S,SC,A848,5/31/2008,810,-53.63277777,-26.28638888
TAUA,NE,CE,A324,7/12/2007,415,-40.281321,-6.01666666
PRADOPOLIS,SE,SP,A747,4/22/2008,544,-48.11388888,-21.33833333
DOURADOS,CO,MS,A721,10/18/2006,469,-54.911355,-22.19388888
ARAPIRACA,NE,AL,A353,4/27/2008,241,-36.61888888,-9.80416666
ITIQUIRA,CO,MT,A933,8/14/2008,593.12,-54.50169,-17.175051
LUIZ EDUARDO MAGALHAES,NE,BA,A404,4/18/2002,760.68,-45.82972221,-12.15222222
BARBACENA,SE,MG,A502,12/5/2002,1168.76,-43.76694443,-21.228373
PLACAS,N,PA,A211,2/14/2008,100.45,-54.216416,-3.86404
PORTO MURTINHO,CO,MS,A723,10/24/2006,85,-57.886546,-21.70583333
PETROLINA,NE,PE,A307,2/21/2003,372.72,-40.48944444,-9.38805555
RIO PARDO,S,RS,A813,9/30/2006,111,-52.38194443,-29.872113
IBIRITE (ROLA MOCA),SE,MG,A555,6/6/2008,1208,-44.01111111,-20.0311111
RECIFE,NE,PE,A301,12/22/2004,11.3,-34.95916666,-8.05916666
DTCEA GUAJARA-MIRIM,N,RO,S110,12/1/2016,-9999,-65.33277777,-10.78999999
MOCAMBINHO,SE,MG,A539,11/11/2007,460,-44.016036,-15.08583333
SAO LUIS,NE,MA,A203,1/29/2003,56,-44.21305555,-2.52666666
SAO GONCALO,NE,PB,A333,11/6/2007,237.04,-38.22749999,-6.75666666
RIO SONO,N,TO,A050,8/3/2016,291,-47.132732,-9.16
REDENCAO,N,PA,A254,7/11/2019,199,-50.00694444,-8.04333333
BALIZA,N,RR,S113,12/1/2016,-9999,-59.74638888,0.94777777
GOIANESIA,CO,GO,A022,6/2/2007,667.01,-48.98999999,-15.22027777
RIO CLARO,SE,RJ,A626,6/3/2016,516,-44.04083333,-22.653579
MANHUACU,SE,MG,A556,9/25/2010,836,-42.18277777,-20.26333333
DIAMANTE DO NORTE,S,PR,A849,3/6/2008,368.22,-52.85888888,-22.63388888
MOSTARDAS,S,RS,A878,3/11/2008,10,-50.90555555,-31.24777777
CARLINDA,CO,MT,A926,4/9/2008,306,-55.79055555,-9.97055554
CAMAPUA,CO,MS,S707,2/19/2018,540,-54.02999999,-19.58749999
TAUBATE,SE,SP,A728,12/20/2006,582.26,-45.52027777,-23.041668
CORUMBA,CO,MS,A724,10/26/2006,126,-57.63749999,-18.99666666
IGUATU,NE,CE,A319,5/30/2007,233,-39.26888888,-6.396375
LINHARES,SE,ES,A614,10/27/2006,40,-40.0686111,-19.356923
PILAO ARCADO,NE,BA,A449,5/28/2016,400,-42.47333332,-10.00222222
PIRAPORA,SE,MG,A545,7/4/2007,505.32,-44.83555555,-17.25777777
NOVA VENECIA,SE,ES,A623,6/22/2008,156.02,-40.39055555,-18.695265
PATROCINIO,SE,MG,A523,8/22/2006,978.11,-46.98583333,-18.99638888
DOIS VIZINHOS,S,PR,A843,3/29/2007,545.95,-53.09444444,-25.69472221
DORES DO INDAIA,SE,MG,A536,6/1/2007,722,-45.59388888,-19.48166666
DTCEA JACAREACANGA,N,PA,S120,12/1/2016,-9999,-57.77499999,-6.23722221
ARAXA,SE,MG,A505,12/19/2002,1020,-46.94944444,-19.60555555
PORTO GRANDE,N,AP,A244,1/1/2019,84.8,-51.40388888,0.69444444
CAPITAO POCO,N,PA,A248,4/18/2011,81,-47.0575,-1.73472221
BREVES,N,PA,A228,10/20/2017,11,-50.47805554,-1.680251
IGUATEMI,CO,MS,S709,2/19/2018,319,-54.57027777,-23.64444444
MACEIO,NE,AL,A303,2/25/2003,84.12,-35.770195,-9.55111111
CORURIPE,NE,AL,A355,9/6/2008,82.39,-36.28638888,-10.1286111
MANAUS,N,AM,A101,5/9/2000,61.25,-60.01555555,-3.10333333
ARAL MOREIRA,CO,MS,S702,4/13/2018,605,-55.626,-22.955
BERTIOGA,SE,SP,A765,2/1/2017,5,-46.14305555,-23.844678
CONDE,NE,BA,A431,4/7/2008,31.9,-37.59972221,-11.8
SANTANA DO ARAGUAIA,N,PA,A233,5/30/2008,176.75,-50.35027777,-9.338611
SANTA MARIA DAS BARREIRAS,N,PA,A256,1/1/2021,165,-49.85638888,-8.72972221
PLANALTO,S,PR,A855,11/7/2007,399.1,-53.74792,-25.721863
FLORIANO,NE,PI,A311,11/18/2004,126.39,-43.00333333,-6.76138888
PAMPULHA,SE,MG,A521,10/10/2006,869,-43.969397,-19.883945
BELMONTE,NE,BA,A447,7/2/2009,89.67,-39.21527777,-16.08805555
IBIMIRIM,NE,PE,A349,10/14/2008,448,-37.71138888,-8.50944444
BELA VISTA,CO,MS,A757,8/9/2011,208,-56.53999999,-22.10083333
MIRANDA,CO,MS,A722,11/2/2006,140,-56.41666666,-20.38333333
JUARA,CO,MT,A914,11/2/2006,263.43,-57.526641,-11.280158
SERRA DOS CARAJAS,N,PA,A230,9/3/2008,719,-50.14222221,-6.077427
JUTI,CO,MS,A749,6/16/2008,379,-54.60555555,-22.85721
SAO PAULO - INTERLAGOS,SE,SP,A771,3/14/2018,771,-46.677501,-23.724501
DTCEA TABATINGA,N,AM,S105,12/1/2016,-9999,-69.93499999,-4.25055555
BRUMADO,NE,BA,A433,4/28/2008,473.37,-41.67222221,-14.18166666
BREJO GRANDE,NE,SE,A421,7/17/2008,6.11,-36.48194443,-10.47388888
JUIZ DE FORA,SE,MG,A518,5/26/2007,950,-43.36416666,-21.769965
PAO DE ACUCAR,NE,AL,A323,7/14/2007,20.83,-37.430765,-9.74922
ITAITUBA,N,PA,A231,2/17/2008,24.46,-55.99305555,-4.27638888
CORONEL PACHECO,SE,MG,A557,10/17/2012,431,-43.261029,-21.546728
LARANJEIRAS DO SUL,S,PR,B804,8/7/2016,835,-52.39194444,-25.36888888
VOTUPORANGA,SE,SP,A729,12/4/2006,510.37,-49.96583333,-20.40305555
ITATIAIA,SE,RJ,A635,9/1/2017,2450,-44.70305555,-22.37388888
BARRA BONITA,SE,SP,A741,4/24/2008,544,-48.55722222,-22.37083332
ALMAS,N,TO,A053,4/1/2016,512,-47.212125,-11.284098
OBIDOS,N,PA,A232,7/5/2012,96,-49.12527777,-1.880789
MOSSORO,NE,RN,A318,5/22/2007,36,-37.366943,-4.90388888
ITAUBAL,N,AP,A251,8/24/2017,21,-50.823528,0.567833
JOSE BONIFACIO,SE,SP,A735,9/3/2007,408.35,-49.920388,-21.08555555
PEDRO GOMES,CO,MS,S714,2/2/2018,251,-54.548811,-18.072711
CAMPO BOM,S,RS,A884,11/29/2013,24,-51.064042,-29.674293
SANTO AUGUSTO,S,RS,A805,12/5/2001,490,-53.7911111,-27.85416666
SILVA JARDIM,SE,RJ,A659,8/28/2015,19,-42.41555555,-22.64583333
BURITIRAMA,NE,BA,A432,5/15/2008,506.5,-43.65111111,-10.722925
RIO URUBU,N,AM,A125,6/26/2008,112.84,-59.60055555,-2.6336111
CACADOR,S,SC,A859,3/19/2008,952,-50.98552,-26.819156
GUIRATINGA,CO,MT,A932,1/24/2008,526,-53.76611111,-16.34166666
ARAGUAINA,N,TO,A021,1/26/2007,230.76,-48.20111111,-7.103954
BARREIRAS,NE,BA,A402,12/20/2001,474.17,-45.01666666,-12.124715
CASTRO,S,PR,A819,7/9/2006,1007.76,-49.999266,-24.786954
BARBALHA,NE,CE,A315,5/31/2007,409.41,-39.2711111,-7.30083333
MACAJUBA,NE,BA,A412,2/3/2003,380,-40.18333333,-12.11666666
MARABA,N,PA,A240,6/25/2009,116.58,-49.051166,-5.16722221
ALFREDO CHAVES,SE,ES,A615,11/3/2006,35,-40.74138888,-20.63638888
GURUPI,N,TO,A019,12/20/2006,287,-49.049703,-11.745782
SAO TOME,SE,RJ,A620,6/13/2008,8,-41.05194444,-22.04166666
BANDEIRANTES,CO,MS,S703,1/29/2018,624,-54.368533,-19.945539
IBOTIRAMA,NE,BA,A439,4/28/2008,430,-43.2125,-12.19249999
SALINAS,SE,MG,A552,9/14/2007,495,-42.310266,-16.16027777
BRASNORTE (NOVO MUNDO),CO,MT,A927,1/1/2019,426.2,-58.23138888,-12.52194443
CAICO,NE,RN,A316,1/7/2007,171.26,-37.084931,-6.45972222
VALENCA,SE,RJ,A611,9/27/2006,370,-43.69555555,-22.35
PARANAIBA,CO,MS,A710,11/10/2006,424,-51.18138888,-19.69527777
SAO JOSE DOS AUSENTES,S,RS,A829,10/26/2006,1244,-50.057869,-28.748615
BURITIS,SE,MG,A544,6/19/2007,894,-46.435536,-15.52416666
PACAJA,N,PA,A210,2/27/2008,108,-50.63805555,-3.8436111
GUARAMIRANGA,NE,CE,A314,5/26/2007,865.53,-38.19749999,-4.26111111
SAO LUIS DO PARAITINGA,SE,SP,A740,11/1/2007,862.3,-45.41694443,-23.22833332
SIDROLANDIA,CO,MS,A754,9/29/2008,471.43,-54.97194443,-20.98166666
PARANA,N,TO,A010,3/4/2005,284.96,-47.871917,-12.614893
LUZIANIA,CO,GO,A012,10/21/2006,1000.82,-47.96638888,-16.26055555
MANICORE,N,AM,A133,12/12/2011,71,-61.28833333,-5.7886111
VENTANIA,S,PR,A872,4/15/2011,1106,-50.21015,-24.23833333
SAO FELIX  DO ARAGUAIA,CO,MT,A921,10/19/2007,218,-50.72777777,-11.61888888
CABACEIRAS,NE,PB,A348,2/28/2008,436,-36.28638888,-7.483206
BRASILIA,CO,DF,A001,5/7/2000,1160.96,-47.925756,-15.789343
SAO MATEUS,SE,ES,A616,10/25/2006,39,-39.84833333,-18.676198
GUANHAES,SE,MG,A533,6/2/2007,860,-42.942921,-18.78666666
ALMENARA,SE,MG,A508,12/15/2002,194,-40.687756,-16.16666666
SAO MIGUEL ARCANJO,SE,SP,A715,8/15/2006,678,-48.16444444,-23.85138888
PARATI,SE,RJ,A619,11/19/2006,5,-44.72666666,-23.22333332
ITAPOA,S,SC,A851,6/6/2007,6.18,-48.64166666,-26.0811111
MINEIROS,CO,GO,A026,11/24/2007,862,-52.60111111,-17.45472222
XEREM,SE,RJ,A603,10/21/2002,33,-43.28222221,-22.58972221
CIDADE GAUCHA,S,PR,A869,3/11/2008,381,-52.931912,-23.359156
RIO VERDE,CO,GO,A025,5/17/2007,782,-50.964869,-17.785303
PACARAIMA,N,RR,S114,12/1/2016,-9999,-61.14916666,4.47749999
PASSOS,SE,MG,A516,7/16/2006,784,-46.63388888,-20.74499999
SAO ROMAO,SE,MG,A547,6/30/2007,490.29,-45.123801,-16.3625
QUIXERAMOBIM,NE,CE,A325,7/9/2007,232,-39.28722221,-5.17305554
BOM JESUS DO PIAUI,NE,PI,A326,7/17/2007,415,-44.31666666,-9.083251
ESPINOSA,SE,MG,A543,11/14/2007,569.64,-42.808473,-14.91222222
ULIANOPOLIS,N,PA,S111,12/1/2016,-9999,-47.51,-3.8
MANTENA,SE,MG,A540,8/1/2007,254.91,-40.98583333,-18.78027777
ITAMARAJU,NE,BA,A455,5/28/2016,110,-39.550861,-17.00694444
XANXERE,S,SC,A858,3/15/2008,889,-52.39809,-26.9386111
